tag_year,UK_dep,Ice_arrive_spring,year,ID,Ice_dep_spring,Green_arrive,Green_dep_aut,Ice_arrive_aut
UCOL20.2_2016,2016-04-10,2016-04-12,2016,UCOL20.2,2016-05-04,2016-05-07,2016-09-12,2016-09-14
UCOL20.2_2017,2017-04-08,2017-04-10,2017,UCOL20.2,NA,NA,NA,NA
UCOL23_2015,2015-04-13,2015-04-15,2015,UCOL23,NA,NA,NA,NA
UCOL24_2015,2015-04-17,2015-04-18,2015,UCOL24,2015-05-10,2015-05-11,2015-09-20,2015-09-29
UCOL24_2016,2016-04-11,2016-04-13,2016,UCOL24,NA,NA,NA,NA
UCOL25_2015,2015-04-08,2015-04-10,2015,UCOL25,2015-05-04,2015-05-05,2015-09-13,2015-09-15
UCOL31_2018,2018-04-11,2018-04-12,2018,UCOL31,2018-05-02,2018-05-04,2018-09-13,2018-09-15
UCOL31_2020,2020-04-04,2020-04-06,2020,UCOL31,2020-05-03,2020-05-07,2020-09-13,2020-09-15
UCOL31_2021,2021-04-07,2021-04-09,2021,UCOL31,NA,NA,NA,NA
UCOL32_2018,2018-04-11,2018-04-12,2018,UCOL32,NA,NA,NA,NA
UCOL35_2019,2019-04-07,2019-04-09,2019,UCOL35,2019-05-05,2019-05-06,2019-09-07,2019-09-08
UCOL37_2020,2020-04-04,2020-04-08,2020,UCOL37,2020-05-02,2020-05-06,2020-09-09,2020-09-12
UCOL40_2019,2019-04-08,2019-04-09,2019,UCOL40,2019-05-03,2019-05-07,2019-09-09,2019-09-11
UCOL40_2020,2020-04-10,2020-04-11,2020,UCOL40,NA,NA,NA,NA
WHIT01_2017,2017-04-02,2017-04-04,2017,WHIT01,2017-05-03,2017-05-06,2017-09-19,2017-09-21
WHIT01_2018,2018-04-14,2018-04-15,2018,WHIT01,NA,NA,2018-09-09,2018-09-11
WHIT01_2019,2019-04-06,2019-04-07,2019,WHIT01,NA,NA,NA,NA
WHIT02_2017,2017-04-02,2017-04-04,2017,WHIT02,2017-05-01,2017-05-06,2017-09-07,2017-09-08
WHIT02_2018,2018-04-10,2018-04-10,2018,WHIT02,2018-05-07,2018-05-09,2018-09-19,2018-09-20
WHIT02_2019,2019-04-08,2019-04-08,2019,WHIT02,2019-05-04,2019-05-06,2019-09-17,2019-09-19
WHIT02_2020,2020-04-10,2020-04-11,2020,WHIT02,NA,NA,NA,NA
WHIT05_2017,2017-04-17,2017-04-18,2017,WHIT05,NA,NA,NA,NA
WHIT09_2017,2017-04-16,2017-04-16,2017,WHIT09,2017-05-06,2017-05-07,2017-09-11,2017-09-14
WHIT10_2020,2020-04-04,2020-04-06,2020,WHIT10,NA,NA,NA,NA
WHIT11_2018,2018-04-18,2018-04-18,2018,WHIT11,NA,NA,NA,NA
WHIT12_2017,2017-04-02,2017-04-06,2017,WHIT12,2017-05-06,2017-05-09,2017-09-07,2017-09-08
WHIT12_2018,2018-04-15,2018-04-15,2018,WHIT12,2018-05-02,2018-05-05,2018-09-11,2018-09-14
WHIT12_2019,2019-04-07,2019-04-08,2019,WHIT12,2019-05-03,2019-05-04,2019-09-05,2019-09-09
WHIT12_2020,2020-04-07,2020-04-08,2020,WHIT12,2020-05-02,2020-05-05,2020-09-07,2020-09-09
WHIT12_2021,2021-04-13,2021-04-14,2021,WHIT12,2021-05-05,2021-05-07,2021-09-03,2021-09-04
WHIT14_2017,2017-04-09,2017-04-10,2017,WHIT14,NA,NA,NA,NA
WHIT15_2017,2017-04-14,2017-04-15,2017,WHIT15,2017-05-04,2017-05-06,2017-09-03,2017-09-06
WHIT16_2018,2018-04-11,2018-04-12,2018,WHIT16,2018-05-08,2018-05-10,2018-09-18,2018-09-20
WHIT16_2019,2019-03-31,2019-04-02,2019,WHIT16,2019-05-03,2019-05-04,2019-09-06,2019-09-09
WHIT16_2020,2020-04-13,2020-04-14,2020,WHIT16,2020-05-07,2020-05-08,2020-09-07,2020-09-09
WHIT17_2018,2018-04-15,2018-04-15,2018,WHIT17,2018-05-09,2018-05-10,2018-09-14,2018-09-16
WHIT17_2020,2020-04-10,2020-04-12,2020,WHIT17,2020-05-06,2020-05-08,2020-09-07,2020-09-08
WHIT19_2018,2018-04-18,2018-04-19,2018,WHIT19,2018-05-09,2018-05-10,2018-09-13,2018-09-15
WHIT19_2019,2019-04-08,2019-04-09,2019,WHIT19,2019-05-05,2019-05-07,2019-09-06,2019-09-09
WHIT21_2018,2018-04-12,2018-04-13,2018,WHIT21,2018-05-07,2018-05-09,2018-09-19,2018-09-20
WHIT21_2019,2019-03-31,2019-04-02,2019,WHIT21,2019-05-03,2019-05-04,2019-09-13,2019-09-14
WHIT21_2020,2020-04-13,2020-04-16,2020,WHIT21,2020-05-08,2020-05-09,2020-09-07,2020-09-09
WHIT21_2021,2021-04-02,2021-04-03,2021,WHIT21,NA,NA,NA,NA
WHIT22_2021,2021-04-13,2021-04-14,2021,WHIT22,NA,NA,NA,NA
WHIT23_2018,2018-04-12,2018-04-13,2018,WHIT23,NA,NA,NA,NA
17782_2020,2020-04-20,2020-04-21,2020,17782,NA,NA,NA,NA
17807_2020,2020-04-20,2020-04-21,2020,17807,2020-05-02,2020-05-06,2020-09-01,2020-09-03
WHIT07_2017,2017-04-11,2017-04-11,2017,WHIT07,2017-05-03,2017-05-06,2017-09-13,2017-09-14
17761_2020,NA,NA,2020,17761,2020-05-06,2020-05-08,2020-09-09,2020-09-12
17791_2021,NA,NA,2021,17791,2021-05-01,2021-05-03,2021-08-23,2021-08-26
190291_2021,NA,NA,2021,190291,2021-05-01,2021-05-02,2021-09-11,2021-09-12
BLO19_2014,NA,NA,2014,BLO19,2014-05-05,2014-05-06,2014-09-11,2014-09-13
BLO19_2016,NA,NA,2016,BLO19,2016-05-04,2016-05-07,2016-09-05,2016-09-09
BLO19_2017,NA,NA,2017,BLO19,2017-05-04,2017-05-07,2017-09-07,2017-09-08
BLO21_2014,NA,NA,2014,BLO21,2014-05-05,2014-05-07,2014-09-11,2014-09-14
BLO21_2015,NA,NA,2015,BLO21,2015-05-10,2015-05-11,2015-09-14,2015-09-15
BLO22_2015,NA,NA,2015,BLO22,2015-05-10,2015-05-12,2015-09-09,2015-09-13
ETA12_2013,NA,NA,2013,ETA12,2013-05-05,2013-05-07,2013-09-08,2013-09-11
ETA12_2016,NA,NA,2016,ETA12,2016-05-02,2016-05-04,2016-09-11,2016-09-12
FAB03_2013,NA,NA,2013,FAB03,2013-05-06,2013-05-14,NA,NA
FAB06_2013,NA,NA,2013,FAB06,2013-05-05,2013-05-07,2013-09-08,2013-09-11
FAB22_2013,NA,NA,2013,FAB22,2013-05-07,2013-05-09,NA,NA
HAR02_2017,NA,NA,2017,HAR02,2017-05-04,2017-05-06,2017-09-07,2017-09-08
HAR25_2017,NA,NA,2017,HAR25,2017-05-04,2017-05-07,2017-09-21,2017-09-23
HAR26_2017,NA,NA,2017,HAR26,2017-05-06,2017-05-11,2017-09-05,2017-09-07
HAR27_2015,NA,NA,2015,HAR27,2015-05-11,2015-05-13,2015-09-22,2015-09-23
HAR27_2016,NA,NA,2016,HAR27,2016-05-02,2016-05-05,2016-09-13,2016-09-14
HAR27_2017,NA,NA,2017,HAR27,2017-05-03,2017-05-07,2017-09-12,2017-09-13
LAR17_2014,NA,NA,2014,LAR17,2014-05-01,2014-05-02,2014-09-11,2014-09-12
LAR17_2015,NA,NA,2015,LAR17,2015-05-06,2015-05-08,NA,NA
PIFO32_2020,NA,NA,2020,PIFO32,2020-05-06,2020-05-08,2020-09-01,2020-09-03
PIFO47_2020,NA,NA,2020,PIFO47,2020-05-02,2020-05-05,NA,NA
PIFO60_2020,NA,NA,2020,PIFO60,2020-05-06,2020-05-08,2020-09-09,2020-09-12
UCOL20.1_2014,NA,NA,2014,UCOL20.1,2014-05-02,2014-05-03,2014-09-10,2014-09-14
UCOL33_2017,NA,NA,2017,UCOL33,2017-05-06,2017-05-08,NA,NA
UCOL37_2019,NA,NA,2019,UCOL37,2019-05-03,2019-05-04,2019-09-06,2019-09-09
WHIT03_2017,NA,NA,2017,WHIT03,2017-05-01,2017-05-05,2017-09-06,2017-09-08
WHIT03_2018,NA,NA,2018,WHIT03,2018-05-02,2018-05-04,2018-09-13,2018-09-15
WHIT09_2018,NA,NA,2018,WHIT09,2018-05-09,2018-05-11,2018-09-14,2018-09-16
WHIT09_2019,NA,NA,2019,WHIT09,2019-05-07,2019-05-10,NA,NA
WHIT10_2017,NA,NA,2017,WHIT10,2017-05-04,2017-05-07,2017-09-09,2017-09-10
WHIT10_2018,NA,NA,2018,WHIT10,2018-05-07,2018-05-09,2018-09-13,2018-09-16
WHIT10_2019,NA,NA,2019,WHIT10,2019-05-05,2019-05-06,2019-09-10,2019-09-11
WHIT17_2019,NA,NA,2019,WHIT17,2019-05-05,2019-05-06,NA,NA
WHIT18_2018,NA,NA,2018,WHIT18,2018-05-09,2018-05-10,2018-09-09,2018-09-12
WHIT20_2018,NA,NA,2018,WHIT20,2018-05-09,2018-05-14,2018-09-15,2018-09-16
WHIT22_2020,NA,NA,2020,WHIT22,2020-05-08,2020-05-09,2020-09-07,2020-09-09
WHIT24_2018,NA,NA,2018,WHIT24,2018-05-08,2018-05-10,2018-09-18,2018-09-26
WHIT25_2019,NA,NA,2019,WHIT25,2019-05-05,2019-05-06,2019-09-06,2019-09-09
WHIT26_2019,NA,NA,2019,WHIT26,2019-05-03,2019-05-04,NA,NA
UCOL31_2019,NA,NA,2019,UCOL31,2019-05-03,2019-05-05,2019-09-10,2019-09-12
WHIT22_2019,NA,NA,2019,WHIT22,2019-05-05,2019-05-08,2019-09-07,2019-09-12
